© 2000-2025 QIAGEN. All rights reserved.

Analysis Details for My Projects->Nasal_TB->blood5k_ipa - 2025-11-25 05:21 PM
Workspace	My Projects
Project	Nasal_TB
Analysis	blood5k_ipa - 2025-11-25 05:21 PM
Date	Tue Nov 25 14:21:55 PST 2025
Analysis ID	43056416

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	0.05
Cutoff for Expression qvalue	0.1
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(species = Human) AND
(confidence = High (predicted) OR Experimentally Observed) AND
(tissues = Other T lymphocytes OR Activated CD56dim NK cells OR Bone marrow-derived dendritic cells OR Th17 cells OR Cytotoxic T cells OR Memory B cells OR Peripheral blood lymphocytes OR Activated CD56bright NK cells OR B lymphocytes not otherwise specified OR Effector memory cytotoxic T cells OR Other Monocyte-derived dendritic cells OR Effector memory RA+ cytotoxic T cells OR BDCA-1+ dendritic cells OR Dendritic cells not otherwise specified OR Myeloid dendritic cells OR Other Peripheral blood leukocytes OR PBMCs OR NK cells not otherwise specified OR Other NK cells OR Granulocytes not otherwise specified OR Other Dendritic cells OR Mature monocyte-derived dendritic cells OR Peripheral blood monocytes OR CD4+ T-lymphocytes OR Macrophages not otherwise specified OR Activated Vd1 Gamma-delta T cells OR Intraepithelial T lymphocytes OR Pro-B lymphocytes OR Monocyte-derived macrophage OR Mononuclear leukocytes not otherwise specified OR Other Granulocytes OR Plasma cells OR Plasmacytoid dendritic cells OR Immature monocyte-derived dendritic cells OR Other Memory T lymphocytes OR Immune cells not otherwise specified OR CD56bright NK cells OR Langerhans cells OR Central memory helper T cells OR Central memory cytotoxic T cells OR Other Mononuclear leukocytes OR Murine NKT cells OR Th2 cells OR Memory T lymphocytes not otherwise specified OR Naive B cells OR Neutrophils OR Other Macrophages OR Vd1 Gamma-delta T cells OR BDCA-3+ dendritic cells OR Activated Vd2 Gamma-delta T cells OR Effector T cells OR Eosinophils OR Vd2 Gamma-delta T cells OR CD56dim NK cells OR CD34+ cells OR Mast cells OR Peritoneal macrophages OR Naive helper T cells OR Lymphocytes not otherwise specified OR Monocytes not otherwise specified OR Effector memory helper T cells OR Activated helper T cells OR Other Monocytes OR T lymphocytes not otherwise specified OR Th1 cells OR Natural T-regulatory cells OR Bone marrow-derived macrophages OR Thymocytes OR Monocyte-derived dendritic cells not otherwise specified OR Peripheral blood leukocytes not otherwise specified OR Other Immune cells OR Other Lymphocytes OR Other B lymphocytes OR Pre-B lymphocytes OR Microglia)

Canonical Pathways for My Projects->Nasal_TB->blood5k_ipa - 2025-11-25 05:21 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Apelin Liver Signaling Pathway	-0E00		1.05E-01	FAS,GSK3B	
Aryl Hydrocarbon Receptor Signaling	-0E00	2.1105794120443453	1.37E-01	ALDH16A1,ALDH1A2,ALDH6A1,CCNA1,CTSD,EP300,FAS,FOS,GSTK1,GSTO1,GSTO2,HSPB1,NFE2L2,NFKB1,NFKB2,NQO2,RELB,TFDP1,TGM2,TP53	
Asparagine N-linked glycosylation	-0E00	1.885618083164127	1.38E-01	ALG10B,ALG2,AMFR,B4GALT1,B4GALT5,B4GALT6,EDEM2,FUCA1,GFUS,GNPNAT1,HK1,MAN1A1,MAN2A2,MARCHF6,OS9,RAD23B,RFT1,ST3GAL4	
Aspirin ADME	-0E00		5.71E-02	ABCC2,UGT2B11	
Assembly and cell surface presentation of NMDA receptors	-0E00	1.0	9.30E-02	CASK,GRIN3A,TUBA1C,TUBA4A	
Assembly of RNA Polymerase II Complex	-0E00	1.3416407864998738	1.00E-01	CDK7,POLR2A,POLR2J,TAF10,TAF5L	
Assembly of RNA Polymerase III Complex	-0E00		7.14E-02	GTF3C4	
Atorvastatin ADME	-0E00		1.25E-01	ABCC2	
Autoimmune Thyroid Disease Signaling	-0E00		4.60E-02	FAS,FCER1G,HLA-B,HLA-C,HLA-E,HLA-F,HLA-G,TG	
Azathioprine ADME	-0E00		1.30E-01	RAC1,SLC29A1,VAV1	
B Cell Development	-0E00		1.63E-02	CD79A,CD79B,HLA-B	
B Cell Receptor Signaling	-0E00	3.0424349222966556	1.23E-01	AKT3,APBB1IP,BAD,BCL6,BLNK,CD79A,CD79B,CFL2,CHUK,CREB5,CREBBP,DAPP1,FCGR2A,GAB2,GRB2,GSK3B,INPPL1,LYN,MAP2K2,MAP2K6,MAP3K3,MAPK13,MAPK14,NFAT5,NFKB1,NFKB2,NFKBIA,PAG1,PIK3AP1,PIK3CB,PIK3R6,PPP3R1,PTK2B,RAC1,RAC2,RAF1,RALB,RAP2B,RELB,SOS2,VAV1	
B-WICH complex positively regulates rRNA expression	-0E00	-0.30151134457776363	1.26E-01	EP300,GSK3B,H2BC15,H3-3B,H3C1,H3C6,KAT2A,POLR1D,POLR1E,POLR1F,TAF1B	
BER (Base Excision Repair) Pathway	-0E00	0.4472135954999579	1.36E-01	FEN1,MAP2K2,MAP2K6,POLB,TDG,TP53	
Binding and Uptake of Ligands by Scavenger Receptors	-0E00	2.82842712474619	6.90E-02	APOL1,COL4A2,FTH1,HP,MARCO,SCARF1,SPARC,STAB2	
Bupropion Degradation	-0E00		1.25E-01	CYP2J2,CYP2S1,POR	
CCR5 Signaling in Macrophages	-0E00	1.6329931618554523	9.91E-02	CACNA1A,CACNA1E,CACNA2D3,CACNB4,CACNG8,CCL5,CCR5,FAS,FCER1G,FOS,GNA12,GNA15,GNAQ,GNAT2,GNG10,GNG7,ITPR1,ITPR2,MAPK13,MAPK14,PRKCD,PTK2B	
CD28 Signaling in T Helper Cells	-0E00	2.9824045403173027	9.66E-02	ACTR3,AKT3,ARPC1B,CHUK,FCER1G,FOS,GRB2,HLA-B,ITPR1,ITPR2,LCP2,MAP2K2,NFAT5,NFKB1,NFKB2,NFKBIA,PIK3CB,PIK3R6,PPP3R1,RAC1,RELB,VAV1,WAS	
CSDE1 Signaling Pathway	-0E00		1.15E-01	AGO4,AKT3,CCL2,CSDE1,FOS,RAC1	
CTLA4 Signaling in Cytotoxic T Lymphocytes	-0E00	-1.5666989036012806	1.25E-01	AKT3,AP1G1,AP1S3,AP2B1,ARF1,BLK,CLTCL1,FCER1G,FOS,FYB1,GRB2,GSK3B,HCK,HLA-B,HLA-C,HLA-E,HLA-F,HLA-G,ITGB2,LCP2,LYN,MAPK13,MAPK14,MR1,NAPEPLD,NFAT5,NFKB1,NFKB2,PIK3CB,PIK3R6,PLD4,PLD6,RAC1,RAC2,RALB,RAP2B,VAV1	
Calcium-induced T Lymphocyte Apoptosis	-0E00	1.6329931618554523	4.44E-02	CABIN1,EP300,FCER1G,HLA-B,ITPR1,ITPR2,PPP3R1,PRKCD	
Carboxyterminal post-translational modifications of tubulin	-0E00	1.0	9.52E-02	AGBL3,AGTPBP1,TUBA1C,TUBA4A	
Cardiogenesis	-0E00		1.15E-01	EOMES,GATA6,KAT2A	
Carnitine shuttle	-0E00		7.14E-02	PRKAB2	
Caspase activation via Dependence Receptors in the absence of ligand	-0E00		1.00E-01	UNC5B	
Cell Cycle Checkpoints	-0E00	-0.16012815380508713	1.35E-01	ANAPC5,B9D2,BABAM2,CCNA1,CDC16,CDC25C,CENPC,CENPL,CENPO,CLIP1,COP1,ERCC6L,H2BC15,MCM3,MCM8,NBN,NDC80,NDEL1,NUP133,NUP160,NUP37,NUP43,NUP98,PPP1CC,PSMA6,PSMB10,PSMB8,PSMB9,PSMC5,PSMD2,PSMD4,PSMD6,RAD1,RCC2,RMI2,TP53,UIMC1,WEE1,YWHAQ	
Cell Cycle Control of Chromosomal Replication	-0E00	0.0	1.06E-01	CDK12,CDK14,CDK7,MCM3,MCM8,PRIM2,TOP1	
Cell Cycle Regulation by BTG Family Proteins	-0E00		7.89E-02	E2F3,E2F5,NOCT	
Cell junction organization	-0E00	2.5298221281347035	1.10E-01	ACTN1,CLDN18,COL17A1,CTNNA1,ILK,ITGB4,LIMS1,NECTIN2,NECTIN3,PXN	
Cell surface interactions at the vascular wall	-0E00	4.270992778072193	1.37E-01	ATP1B2,CD177,CD2,CD44,CD48,CD58,CEACAM1,CEACAM6,CEACAM8,FCER1G,GP6,GRB2,ITGA4,ITGAM,ITGAX,ITGB2,ITGB3,JAM3,LYN,OLR1,PIK3CB,PROC,PROS1,SELL,SELP,SELPLG,SIRPA,SLC16A3,VPREB3	
Chaperone Mediated Autophagy	-0E00		4.55E-02	PLIN3	
Cholesterol biosynthesis	-0E00		7.41E-02	FDFT1,LBR	
Chromatin modifications during the maternal to zygotic transition (MZT)	-0E00	0.8164965809277261	9.09E-02	H2BC15,H3-3B,H3C1,H3C6,KDM6A,TET3	
Cilium Assembly	-0E00	2.4494897427831783	1.19E-01	AHI1,ASAP1,B9D2,CC2D2A,CCT3,CDK5RAP2,CEP162,CEP63,CEP89,CNGB1,CSNK1D,DYNLT2,DYNLT5,EXOC1,EXOC6,HAUS4,KIF24,PRKAR2B,RAB3IP,TCTN1,TCTN3,TNPO1,TUBA1C,TUBA4A	
Citrulline Biosynthesis	-0E00		1.00E-01	ARG1	
Class A/1 (Rhodopsin-like receptors)	-0E00	1.4795908857482156	1.21E-01	ADRA2A,APP,C5,CCL2,CCL5,CCR5,CCR6,CNR2,CXCR6,CYSLTR2,DRD4,ECE1,F2RL1,FFAR2,FFAR3,FPR1,FPR2,FPR3,GHRL,GPR183,HCAR2,HCAR3,HRH2,HRH4,HTR4,INSL3,LTB4R,NTSR1,P2RY10,P2RY13,P2RY14,P2RY2,PLPPR2,PPBP,PTGDR2,S1PR1,TBXA2R	
Class C/3 (Metabotropic glutamate/pheromone receptors)	-0E00		3.33E-02	GABBR1	
Class I peroxisomal membrane protein import	-0E00		5.00E-02	PXMP4	
Cleavage and Polyadenylation of Pre-mRNA	-0E00		7.69E-02	CPSF2	
Co-inhibition by CTLA4	-0E00		9.52E-02	AKT3,LYN	
Co-inhibition by PD-1	-0E00		6.67E-02	CD274,PDCD1LG2	
Cohesin Chromatin Regulation Pathway	-0E00	0.24253562503633297	8.79E-02	ANAPC5,CCNC,CDC16,CDHR5,CELSR1,H2BC15,H3-3B,H3C1,H3C6,HSPBAP1,MED10,MED12,MED12L,MED13L,MED16,MED24,MED9,NIPBL,PCDH12,PCDHGB2,POLR2A,POLR2J,SOX2,STAG3	
Collagen biosynthesis and modifying enzymes	-0E00	2.82842712474619	1.19E-01	ADAMTS2,COL17A1,COL23A1,COL4A2,COL6A3,PCOLCE2,PLOD1,PLOD2	
Collagen chain trimerization	-0E00	2.0	9.09E-02	COL17A1,COL23A1,COL4A2,COL6A3	
Communication between Innate and Adaptive Immune Cells	-0E00	1.9414506867883021	4.83E-02	CCL5,CD79A,CD79B,FCER1G,HLA-B,HLA-C,HLA-E,HLA-F,HLA-G,IL15,MR1,TLR1,TLR10,TLR2,TLR4,TLR5,TLR8	
Complement cascade	-0E00	4.0	1.19E-01	C1QA,C1QB,C1QC,C1R,C2,C4A,C4BPA,C5,CD46,CD55,CD59,CFP,CLU,CR1,PROS1,SERPING1	
Complex I biogenesis	-0E00	-1.0	5.97E-02	NDUFA8,NDUFAF4,NDUFS8,NDUFV1	
Complex III assembly	-0E00		7.69E-02	UQCC1,UQCRFS1	
Complex IV assembly	-0E00	0.0	1.25E-01	COA5,COX15,COX5A,COX6C,RAB5IF,SCO2	
Coronavirus Replication Pathway	-0E00	1.0	3.85E-02	ACE2,GSK3B,IFITM10,IFITM3,TUBA1C,TUBA4A	
Cristae formation	-0E00		6.06E-02	APOOL,ATP5MC3	
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	-0E00		6.04E-02	CYCS,FAS,FCER1G,HLA-B,HLA-C,HLA-E,HLA-F,HLA-G,MR1	
D-myo-inositol (1,4,5)-trisphosphate Degradation	-0E00		1.25E-01	INPP1,INPPL1	
DNA Damage Bypass	-0E00	1.6329931618554523	1.25E-01	NPLOC4,POLE3,TRIM25,UBE2B,UBE2L6,UFD1	
DNA Double Strand Break Response	-0E00	0.3779644730092272	9.33E-02	BABAM2,H2BC15,KDM4B,KPNA2,NBN,TP53,UIMC1	
DNA Double-Strand Break Repair by Homologous Recombination	-0E00		7.14E-02	NBN	
DNA Double-Strand Break Repair by Non-Homologous End Joining	-0E00		7.14E-02	NBN	
DNA Replication Pre-Initiation	-0E00	0.9428090415820635	1.29E-01	ANAPC5,CDC16,FZR1,H2BC15,H3-3B,H3C1,H3C6,KPNB1,MCM3,MCM8,PSMA6,PSMB10,PSMB8,PSMB9,PSMC5,PSMD2,PSMD4,PSMD6	
DNA methylation	-0E00	0.0	6.56E-02	H2BC15,H3-3B,H3C1,H3C6	
Degradation of the extracellular matrix	-0E00	2.1213203435596424	9.88E-02	CAPN13,CAPNS2,CD44,LAMA5,MMP8,MMP9,NCSTN,PSEN1	
Dendritic Cell Maturation	-0E00	4.016632088371218	1.14E-01	AKT3,CD58,CHUK,CREB5,CREBBP,FCER1G,FCGR1A,FCGR2A,HLA-B,HLA-C,HLA-E,HLA-F,HLA-G,ICAM1,IFNAR1,IL15,IL32,JAK2,LEPR,LTBR,MAPK13,MAPK14,MR1,NFKB1,NFKB2,NFKBIA,PIK3CB,PIK3R6,PLCD1,PLCL2,RELB,STAT1,TLR2,TLR4,TNFRSF1A	
Dermatan Sulfate Biosynthesis (Late Stages)	-0E00	0.8164965809277261	1.36E-01	CHST12,CHST15,DSE,HS2ST1,HS3ST1,NDST1	
Differential Regulation of Cytokine Production in Intestinal Epithelial Cells by IL-17A and IL-17F	-0E00		1.30E-01	CCL2,CCL5,LCN2	
Differential Regulation of Cytokine Production in Macrophages and T Helper Cells by IL-17A and IL-17F	-0E00		1.11E-01	CCL2,CCL5	
Dolichyl-diphosphooligosaccharide Biosynthesis	-0E00		8.33E-02	ALG2	
Dopamine Degradation	-0E00		1.25E-01	ALDH1A2,MAOA,MAOB	
E3 ubiquitin ligases ubiquitinate target proteins	-0E00	1.414213562373095	1.36E-01	H2BC15,HLA-B,PAF1,RNF20,RRAGA,SELENOS,UBE2B,UBE2D3	
EGR2 and SOX10-mediated initiation of Schwann cell myelination	-0E00		3.45E-02	MPZ	
EIF2 Signaling	-0E00	0.9428090415820635	1.08E-01	AKT3,EIF2AK1,EIF2AK3,EIF2B1,EIF3I,EIF4E3,EIF4G1,EIF4G3,EIF5B,ELP5,GRB2,GSK3B,IGF1R,MAP2K2,PIK3CB,PIK3R6,PPP1CB,PPP1CC,RAF1,RALB,RAP2B,SOS2,TSG101,UBAP1,WARS1,XIAP	
ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression	-0E00	0.0	1.11E-01	CHD4,GATAD2A,H2BC15,H3-3B,H3C1,H3C6,RBBP4,RBBP7	
ESR-mediated signaling	-0E00	2.523573072576179	1.24E-01	AGO4,CHD1,CREBBP,CTSD,EP300,FKBP5,FOS,FOSB,H2BC15,H3-3B,H3C1,H3C6,KDM4B,KPNA2,POLR2A,POLR2J,RUNX1,TLE3,USF1	
Egg-Sperm Fusion Signaling Pathway	-0E00	1.9414506867883021	1.24E-01	AKT3,ITPR1,ITPR2,NAPB,PIK3CB,PIK3R6,PRKAR2B,PTPN1,RAB27A,RAPGEF3,SPACA6,STX16,VAMP3	
Endosomal Sorting Complex Required For Transport (ESCRT)	-0E00	2.0	1.29E-01	CHMP2B,HGS,TSG101,UBAP1	
Estrogen Biosynthesis	-0E00		1.03E-01	AKR1C3,CYP2J2,CYP2S1,POR	
Eukaryotic Translation Initiation	-0E00	0.0	3.82E-02	EIF2B1,EIF3I,EIF4G1,EIF5B,TSG101,UBAP1	
Eukaryotic Translation Termination	-0E00		8.26E-03	ETF1	
Expression and translocation of olfactory receptors	-0E00	1.0	2.94E-02	OR2B2,OR2T8,OR4D1,OR52K1	
Extra-nuclear estrogen signaling	-0E00	1.6666666666666667	1.20E-01	AKT3,EGF,FOS,FOXO3,GNG10,GNG7,HSPB1,IGF1R,MMP9	
Extrinsic Prothrombin Activation Pathway	-0E00		1.25E-01	PROC,PROS1	
FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes	-0E00	1.0	1.33E-01	FOXO3,RETN,SMAD3,SOD2	
Factors Promoting Cardiogenesis in Vertebrates	-0E00	1.0	1.10E-01	ACVR1B,BMP3,BMP8B,CREB5,CREBBP,FZD1,FZD5,GSK3B,MAPK14,PLCD1,PLCL2,PRKCD,ROCK1,TCF7L1,WNT10A,WNT6	
Fanconi Anemia Pathway	-0E00		2.63E-02	FANCF	
Fatty Acid α-oxidation	-0E00		1.18E-01	ALDH1A2,TMLHE	
Fc epsilon receptor (FCERI) signaling	-0E00	4.2	1.21E-01	CHUK,FCER1G,FOS,GAB2,GRB2,ITPR1,ITPR2,LAT2,LCP2,LYN,NFKB1,NFKBIA,PIK3CB,PPP3R1,PSMA6,PSMB10,PSMB8,PSMB9,PSMC5,PSMD2,PSMD4,PSMD6,RAC1,TAB3,VAV1	
FcγRIIB Signaling in B Lymphocytes	-0E00	-0.3333333333333333	6.84E-02	BLNK,CACNA1A,CACNA1E,CACNA2D3,CACNB4,CACNG8,CD79A,CD79B,GRB2,ITPR1,ITPR2,LYN,PIK3CB,PIK3R6,RALB,RAP2B	
Fertilization	-0E00		8.70E-02	B4GALT1,HVCN1	
Formation of ATP by chemiosmotic coupling	-0E00		5.00E-02	ATP5MC3	
Formation of axial mesoderm	-0E00		7.14E-02	SMAD3	
Formation of the anterior neural plate	-0E00		1.00E-01	SOX2	
Formation of the dystrophin-glycoprotein complex (DGC)	-0E00		8.33E-02	DTNB,LAMA5,SGCA	
Formation of the nephric duct	-0E00		5.56E-02	PLAC8	
Formation of the posterior neural plate	-0E00		1.25E-01	SOX2	
G Protein Signaling Mediated by Tubby	-0E00	2.6726124191242437	7.29E-02	FCER1G,FYB1,GNA12,GNA15,GNAQ,GNAT2,GNG10,GNG7,GRB2,JAK2,LCP2,NAMPT,TUB,VAV1	
G alpha (i) signalling events	-0E00	1.5118578920369088	1.17E-01	ADCY3,ADCY4,ADRA2A,APP,C5,CCL5,CCR5,CCR6,CNR2,CXCR6,DRD4,FPR1,FPR2,FPR3,GABBR1,GNAT2,GNG10,GNG7,GPR183,HCAR2,HCAR3,HRH4,P2RY13,P2RY14,PPBP,PTGDR2,RGS16,RGS3	
G alpha (q) signalling events	-0E00	2.3570226039551585	1.08E-01	APP,CYSLTR2,F2RL1,FFAR2,FFAR3,FPR2,GHRL,GNA15,GNAQ,GNG10,GNG7,LTB4R,NTSR1,P2RY10,P2RY2,RGS16,RGS3,TBXA2R	
G alpha (s) signalling events	-0E00	2.138089935299395	1.07E-01	ADCY3,ADCY4,ADM,ADM2,ARRB2,CYSLTR2,GNG10,GNG7,GPR15,GPR27,GPR84,HRH2,HTR4,INSL3	
G-protein beta:gamma signalling	-0E00	-1.0	1.25E-01	AKT3,GNG10,GNG7,PIK3R6	
GABA receptor activation	-0E00	1.414213562373095	1.36E-01	ADCY3,ADCY4,ARHGEF9,GABBR1,GNG10,GNG7,KCNJ15,KCNJ2	
GABA synthesis, release, reuptake and degradation	-0E00		1.05E-01	DNAJC5,SLC6A12	
GAIT Translation Signaling Pathway	-0E00	-1.2909944487358056	7.59E-02	APOA2,APOL1,APOL2,CCR6,CLU,EIF2B1,EIF3I,EIF4E3,EIF4G1,EIF4G3,ELP5,MARS1,ORM1,S100A8,SERPINA1,TSG101,UBAP1	
GP1b-IX-V activation signalling	-0E00		9.09E-02	RAF1	
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	-0E00	0.0	1.37E-01	ADCY3,ADCY4,GNA15,GNAQ,GUCY1B1,ITPR1,ITPR2,PLCD1,PLCL2,PRKAR2B	
GPER1 signaling	-0E00	1.1547005383792517	1.17E-01	ADCY3,ADCY4,BRSK2,GNG10,GNG7,PI4K2B,PIK3CB,PIK3R6,PRKAR2B,STK16,STK3,STK33	
Gap junction trafficking and regulation	-0E00	2.23606797749979	1.06E-01	CLTCL1,GJB7,GJC2,TUBA1C,TUBA4A	
Gastrin-CREB signalling pathway via PKC and MAPK	-0E00		5.56E-02	GRB2	
Glucocorticoid Biosynthesis	-0E00		1.11E-01	HSD3B7	
Glutamate Receptor Signaling	-0E00		1.21E-01	GLUL,GNG10,GNG7,GRIN3A,GRINA,GRIP1,SLC1A1,SLC1A3	
Glutamate binding, activation of AMPA receptors and synaptic plasticity	-0E00		9.68E-02	AP2B1,CACNG8,GRIP1	
Glycine Betaine Degradation	-0E00		1.00E-01	PIPOX	
Glycolysis I	-0E00		8.00E-02	ALDOA,PKM	
Glycosphingolipid transport	-0E00		1.25E-01	ARF1	
Glyoxylate metabolism and glycine degradation	-0E00		5.26E-02	GOT2	
Graft-versus-Host Disease Signaling	-0E00		4.22E-02	FAS,FCER1G,HLA-B,HLA-C,HLA-E,HLA-F,HLA-G	
Granzyme B Signaling	-0E00		1.25E-01	CYCS,LMNB1	
Guanosine Nucleotides Degradation III	-0E00		7.69E-02	NT5C2	
Gustation Pathway	-0E00	1.212678125181665	1.13E-01	ABHD2,ADCY3,ADCY4,CACNA1A,CACNA1E,CACNA2D3,CACNB4,CACNG8,GUCY1B1,ITPR1,ITPR2,KCNH2,P2RY10,P2RY13,P2RY14,P2RY2,PRKAR2B,SCN1B,SCN3B,SCN9A,SLC2A4	
HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	-0E00	0.5773502691896258	9.23E-02	BABAM2,CCNA1,FIGNL1,H2BC15,NBN,POLE3,PPP4R2,RAD1,RAD51C,RMI2,SPIDR,UIMC1	
HSP90 chaperone cycle for steroid hormone receptors in the presence of ligand	-0E00	2.0	7.14E-02	ACTR10,FKBP5,TUBA1C,TUBA4A	
