© 2000-2025 QIAGEN. All rights reserved.

Analysis Details for My Projects->Nasal_TB->nasal_5k_ipa - 2025-12-01 12:15 PM
Workspace	My Projects
Project	Nasal_TB
Analysis	nasal_5k_ipa - 2025-12-01 12:15 PM
Date	Mon Dec 01 09:15:07 PST 2025
Analysis ID	43063910

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	--
Cutoff for Expression qvalue	0.1
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(species = Human) AND
(confidence = High (predicted) OR Experimentally Observed)

Canonical Pathways for My Projects->Nasal_TB->nasal_5k_ipa - 2025-12-01 12:15 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Coronavirus Replication Pathway	2.43E-01		6.21E-03	TUBB4B	
Preeclampsia Signaling Pathway	2.43E-01		6.21E-03	CCN2	
HMGB1 Signaling	2.46E-01		6.29E-03	MAP2K6	
Microautophagy Signaling Pathway	2.48E-01		6.33E-03	COL28A1	
Ovarian Cancer Signaling	2.48E-01		6.33E-03	CD44	
HEY1 Signaling Pathway	2.5E-01		6.37E-03	MMP12	
IL-10 Signaling	2.61E-01		6.62E-03	MAP2K6	
PTEN Regulation	2.61E-01		6.62E-03	RRAGB	
Dilated Cardiomyopathy Signaling Pathway	2.63E-01		6.67E-03	TNNC2	
Type II Diabetes Mellitus Signaling	2.63E-01		6.67E-03	SLC27A3	
Glucocorticoid Receptor Signaling	2.64E-01		5.51E-03	IL22RA2,IL31RA,PDK4	
Endocannabinoid Neuronal Synapse Pathway	2.67E-01		6.76E-03	CNR2	
PIP3 activates AKT signaling	2.69E-01		6.80E-03	PIP4K2A	
Hedgehog 'on' state	2.72E-01		6.90E-03	GAS1	
NAD Signaling Pathway	2.79E-01		7.04E-03	NMNAT2	
Xenobiotic Metabolism General Signaling Pathway	2.79E-01		7.04E-03	MAP2K6	
RHO GTPases Activate Formins	2.83E-01		7.14E-03	TUBB4B	
DHCR24 Signaling Pathway	2.87E-01		7.25E-03	CYP51A1	
Hereditary Breast Cancer Signaling	2.91E-01		7.35E-03	WEE1	
CCR3 Signaling in Eosinophils	2.96E-01		7.46E-03	CCR3	
Iron homeostasis signaling pathway	2.96E-01		7.46E-03	HEPH	
SNARE Signaling Pathway	2.96E-01		7.46E-03	SYT2	
Centrosomal KIAA0586 Signaling Pathway	2.98E-01		7.52E-03	CD44	
Epigenetic regulation of gene expression by MLL3 and MLL4 complexes	2.98E-01		7.52E-03	PDK4	
Gα12/13 Signaling	2.98E-01		7.52E-03	CDH26	
Mitotic G1 phase and G1/S transition	3E-01		7.58E-03	WEE1	
Role of PKR in Interferon Induction and Antiviral Response	3E-01		7.58E-03	MAP2K6	
Interleukin-1 family signaling	3.05E-01		7.69E-03	MAP2K6	
TR/RXR Activation	3.05E-01		7.69E-03	SYT2	
Clathrin-mediated endocytosis	3.07E-01		7.75E-03	SYT2	
IL-6 Signaling	3.07E-01		7.75E-03	MAP2K6	
Synaptogenesis Signaling Pathway	3.09E-01		6.37E-03	CDH26,SYT2	
MHC class II antigen presentation	3.1E-01		7.81E-03	TUBB4B	
14-3-3-mediated Signaling	3.14E-01		7.94E-03	TUBB4B	
IL-27 Signaling Pathway	3.14E-01		7.94E-03	GZMB	
Axonal Guidance Signaling	3.15E-01		6.04E-03	ADAM19,MMP12,TUBB4B	
Insulin Receptor Signaling	3.17E-01		8.00E-03	SCNN1B	
Ferroptosis Signaling Pathway	3.19E-01		8.06E-03	FDFT1	
GP6 Signaling Pathway	3.19E-01		8.06E-03	COL28A1	
RHOA Signaling	3.19E-01		8.06E-03	PIP4K2A	
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by IGFBPs	3.19E-01		8.06E-03	CTSG	
L1CAM interactions	3.22E-01		8.13E-03	TUBB4B	
Type I Diabetes Mellitus Signaling	3.23E-01		6.56E-03	GZMB,MAP2K6	
Activation of anterior HOX genes in hindbrain during early embryogenesis	3.27E-01		8.26E-03	HOXA3	
IL-15 Production	3.27E-01		8.26E-03	MAP2K6	
Regulation of lipid metabolism by PPARalpha	3.32E-01		8.40E-03	FDFT1	
Fc Epsilon RI Signaling	3.35E-01		8.47E-03	MAP2K6	
Th1 Pathway	3.35E-01		8.47E-03	MAP2K6	
Parkinson's Signaling Pathway	3.35E-01		6.73E-03	CNR2,TUBB4B	
Cholecystokinin/Gastrin-mediated Signaling	3.37E-01		8.55E-03	MAP2K6	
Bladder Cancer Signaling	3.4E-01		8.62E-03	MMP12	
Hedgehog 'off' state	3.43E-01		8.70E-03	TUBB4B	
Sleep NREM Signaling Pathway	3.46E-01		8.77E-03	MAP2K6	
Regulation of Actin-based Motility by Rho	3.51E-01		8.93E-03	PIP4K2A	
Interleukin-4 and Interleukin-13 signaling	3.54E-01		9.01E-03	IRF4	
Phase II - Conjugation of compounds	3.54E-01		9.01E-03	GGT5	
MITF-M-dependent gene expression	3.57E-01		9.09E-03	IRF4	
Role of MAPK Signaling in Promoting the Pathogenesis of Influenza	3.57E-01		9.09E-03	MAP2K6	
Irritable Bowel Syndrome Signaling Pathway	3.63E-01		7.12E-03	ITLN1,MMP12	
Factors involved in megakaryocyte development and platelet production	3.63E-01		9.26E-03	WEE1	
Membrane Repair Signaling Pathway	3.63E-01		9.26E-03	SYT2	
Opioid Signaling Pathway	3.64E-01		7.14E-03	MAP2K6,RGS18	
Egg-Sperm Fusion Signaling Pathway	3.66E-01		9.35E-03	SYT2	
Extracellular matrix organization	3.66E-01		9.35E-03	ADAM19	
Signaling by VEGF	3.66E-01		9.35E-03	MAPKAPK3	
Xenobiotic Metabolism Signaling	3.66E-01		7.17E-03	HS3ST3A1,MAP2K6	
Phase I - Functionalization of compounds	3.69E-01		9.43E-03	CYP51A1	
Cargo recognition for clathrin-mediated endocytosis	3.72E-01		9.52E-03	SYT2	
IGF-1 Signaling	3.72E-01		9.52E-03	CCN2	
PD-1, PD-L1 cancer immunotherapy pathway	3.75E-01		9.62E-03	PDCD1LG2	
COPI-mediated anterograde transport	3.82E-01		9.80E-03	TUBB4B	
S Phase	3.85E-01		9.90E-03	WEE1	
mRNA 3 Prime End Processing Signaling Pathway	3.88E-01		1.00E-02	CD44	
Signaling by Rho Family GTPases	3.91E-01		7.52E-03	CDH26,PIP4K2A	
Protein folding	3.92E-01		1.01E-02	TUBB4B	
Apelin Cardiomyocyte Signaling Pathway	3.95E-01		1.02E-02	SLC9A3	
IL-1 Signaling	3.98E-01		1.03E-02	MAP2K6	
Salvage Pathways of Pyrimidine Ribonucleotides	3.98E-01		1.03E-02	MAP2K6	
TGF-β Signaling	3.98E-01		1.03E-02	MAP2K6	
Transcriptional regulation by RUNX3	3.98E-01		1.03E-02	CCN2	
Circadian Rhythm Signaling	3.99E-01		7.63E-03	MAP2K6,PER1	
Small Cell Lung Cancer Signaling	4.02E-01		1.04E-02	TRAF5	
Cardiac Hypertrophy Signaling	4.11E-01		7.81E-03	MAP2K6,MAPKAPK3	
ERBB Signaling	4.12E-01		1.08E-02	MAP2K6	
Cell junction organization	4.16E-01		1.09E-02	CLDN3	
Acute Myeloid Leukemia Signaling	4.24E-01		1.11E-02	MAP2K6	
RAB GEFs exchange GTP for GDP on RABs	4.24E-01		1.11E-02	DENND2D	
Unfolded protein response	4.24E-01		1.11E-02	CEBPE	
ABRA Signaling Pathway	4.31E-01		1.14E-02	CCN2	
NAP1L1 Transcription Regulation Signaling Pathway	4.31E-01		1.14E-02	TUBB4B	
Transcriptional regulation of granulopoiesis	4.31E-01		1.14E-02	CEBPE	
Tuberculosis Latent Signaling Pathway	4.31E-01		1.14E-02	TRAF5	
Neddylation	4.32E-01		8.13E-03	CISH,ZBTB16	
Docosahexaenoic Acid (DHA) Signaling	4.39E-01		8.23E-03	FABP6,SYT2	
FGF Signaling	4.39E-01		1.16E-02	MAP2K6	
Systemic Lupus Erythematosus in T Cell Signaling Pathway	4.43E-01		7.35E-03	CD44,IRF4,MAP2K6	
Activation of NMDA receptors and postsynaptic events	4.43E-01		1.18E-02	TUBB4B	
Cyclins and Cell Cycle Regulation	4.43E-01		1.18E-02	WEE1	
Integrin cell surface interactions	4.43E-01		1.18E-02	CD44	
LPS-stimulated MAPK Signaling	4.43E-01		1.18E-02	MAP2K6	
Immunogenic Cell Death Signaling Pathway	4.47E-01		1.19E-02	GZMB	
PI Metabolism	4.47E-01		1.19E-02	PIP4K2A	
Transport of bile salts and organic acids, metal ions and amine compounds	4.47E-01		1.19E-02	HEPH	
Superpathway of Inositol Phosphate Compounds	4.48E-01		8.37E-03	PIP4K2A,PPP1R16B	
Wound Healing Signaling Pathway	4.48E-01		8.37E-03	COL28A1,MAP2K6	
JAK/STAT Signaling	4.56E-01		1.22E-02	CISH	
Chemokine Signaling	4.6E-01		1.23E-02	CCR3	
DDX58/IFIH1-mediated induction of interferon-alpha/beta	4.6E-01		1.23E-02	ISG15	
Role of MAPK Signaling in the Pathogenesis of Influenza	4.6E-01		1.23E-02	MAP2K6	
Signaling by NTRK1 (TRKA)	4.6E-01		1.23E-02	MAPKAPK3	
Osteoarthritis Pathway	4.64E-01		8.62E-03	ITLN1,MMP12	
Sertoli Cell-Germ Cell Junction Signaling Pathway (Enhanced)	4.64E-01		8.62E-03	CLDN3,MAP2K6	
Neurotrophin/TRK Signaling	4.78E-01		1.30E-02	MAP2K6	
Toll-like Receptor Signaling	4.78E-01		1.30E-02	MAP2K6	
Angiopoietin Signaling	4.82E-01		1.32E-02	DOK2	
GDNF Family Ligand-Receptor Interactions	4.82E-01		1.32E-02	DOK2	
HIPPO signaling	4.82E-01		1.32E-02	CD44	
Role of MAPK Signaling in Inhibiting the Pathogenesis of Influenza	4.82E-01		1.32E-02	MAP2K6	
Nuclear Cytoskeleton Signaling Pathway	4.89E-01		9.01E-03	CDH26,TUBB4B	
Translocation of SLC2A4 (GLUT4) to the plasma membrane	5.01E-01		1.39E-02	TUBB4B	
Cell surface interactions at the vascular wall	5.02E-01		9.22E-03	CD44,DOK2	
Glioma Invasiveness Signaling	5.06E-01		1.41E-02	CD44	
Heparan Sulfate Biosynthesis	5.06E-01		1.41E-02	HS3ST3A1	
Melatonin Signaling	5.06E-01		1.41E-02	MAP2K6	
GM-CSF Signaling	5.12E-01		1.43E-02	CISH	
3-phosphoinositide Biosynthesis	5.13E-01		9.39E-03	PIP4K2A,PPP1R16B	
Sensory processing of sound by inner hair cells of the cochlea	5.17E-01		1.45E-02	OTOF	
Cardiac Hypertrophy Signaling (Enhanced)	5.2E-01	-2.0	7.55E-03	IL22RA2,IL31RA,MAP2K6,MAPKAPK3	
Macroautophagy	5.22E-01		1.47E-02	RRAGB	
Collagen biosynthesis and modifying enzymes	5.27E-01		1.49E-02	COL28A1	
Remodeling of Epithelial Adherens Junctions	5.27E-01		1.49E-02	TUBB4B	
Mitotic G2-G2/M phases	5.3E-01		9.66E-03	TUBB4B,WEE1	
T Cell Exhaustion Signaling Pathway	5.31E-01		8.29E-03	GZMB,IRF4,PDCD1LG2	
HIF1α Signaling	5.33E-01		9.71E-03	MAP2K6,MMP12	
Glutamate Receptor Signaling	5.33E-01		1.52E-02	SLC1A7	
Pyridoxal 5'-phosphate Salvage Pathway	5.33E-01		1.52E-02	MAP2K6	
Cilium Assembly	5.38E-01		9.80E-03	IFT74,TUBB4B	
D-myo-inositol-5-phosphate Metabolism	5.38E-01		9.80E-03	PIP4K2A,PPP1R16B	
Superpathway of Melatonin Degradation	5.38E-01		1.54E-02	CYP51A1	
Activin Inhibin Signaling Pathway	5.41E-01		9.85E-03	CCN2,MAP2K6	
Collagen degradation	5.44E-01		1.56E-02	MMP12	
Heparan Sulfate Biosynthesis (Late Stages)	5.44E-01		1.56E-02	HS3ST3A1	
Mitotic Roles of Polo-Like Kinase	5.44E-01		1.56E-02	WEE1	
Role of Tissue Factor in Cancer	5.44E-01		9.90E-03	CCN2,MAP2K6	
Degradation of CRY and PER proteins	5.56E-01		1.61E-02	PER1	
Kinesins	5.56E-01		1.61E-02	TUBB4B	
PI3K/AKT Signaling	5.59E-01		1.02E-02	IL22RA2,IL31RA	
Melatonin Degradation I	5.68E-01		1.67E-02	CYP51A1	
Nicotine Degradation II	5.68E-01		1.67E-02	CYP51A1	
Regulation of the Epithelial Mesenchymal Transition by Growth Factors Pathway	5.68E-01		1.03E-02	CLDN3,MAP2K6	
Regulation of the Epithelial-Mesenchymal Transition Pathway	5.72E-01		1.04E-02	CLDN3,MAP2K6	
GADD45 Signaling	5.74E-01		1.69E-02	MAP2K6	
Iron uptake and transport	5.74E-01		1.69E-02	HEPH	
Polyamine Regulation in Colon Cancer	5.74E-01		1.69E-02	MAP2K6	
Dermatan Sulfate Biosynthesis	5.8E-01		1.72E-02	HS3ST3A1	
HSP90 chaperone cycle for steroid hormone receptors in the presence of ligand	5.87E-01		1.75E-02	TUBB4B	
Neurexins and neuroligins	5.87E-01		1.75E-02	SYT2	
Role of IL-17A in Arthritis	5.87E-01		1.75E-02	MAP2K6	
Chondroitin Sulfate Biosynthesis	5.94E-01		1.79E-02	HS3ST3A1	
NLR signaling pathways	5.94E-01		1.79E-02	MAP2K6	
Amino acids regulate mTORC1	6E-01		1.82E-02	RRAGB	
Intrinsic Pathway for Apoptosis	6E-01		1.82E-02	GZMB	
IL-17 Signaling	6.01E-01		1.09E-02	MAP2K6,TRAF5	
Lymphotoxin β Receptor Signaling	6.07E-01		1.85E-02	TRAF5	
Nicotine Degradation III	6.07E-01		1.85E-02	CYP51A1	
SPINK1 Pancreatic Cancer Pathway	6.07E-01		1.85E-02	MMP12	
Neutrophil degranulation	6.17E-01	-1.0	8.37E-03	CD44,CLEC12A,CTSG,TUBB4B	
Xenobiotic Metabolism CAR Signaling Pathway	6.21E-01		1.12E-02	HS3ST3A1,MAP2K6	
FXR/RXR Activation	6.25E-01		1.13E-02	FABP6,FETUB	
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	6.29E-01		1.96E-02	WEE1	
Gap junction trafficking and regulation	6.29E-01		1.96E-02	TUBB4B	
NR1H2 and NR1H3-mediated signaling	6.29E-01		1.96E-02	FABP6	
Epithelial Membrane Protein Signaling Pathway	6.39E-01		1.16E-02	CD44,EMP3	
PFKFB4 Signaling Pathway	6.44E-01		2.04E-02	MAP2K6	
Pyruvate metabolism	6.44E-01		2.04E-02	PDK4	
WNT/β-catenin Signaling	6.5E-01		1.18E-02	CD44,SFRP1	
Chondroitin Sulfate Biosynthesis (Late Stages)	6.52E-01		2.08E-02	HS3ST3A1	
DNA Damage Bypass	6.52E-01		2.08E-02	ISG15	
Aldosterone Signaling in Epithelial Cells	6.54E-01		1.18E-02	PIP4K2A,SCNN1B	
Serotonin Receptor Signaling	6.55E-01	-1.0	8.70E-03	CCR7,CD44,MAP2K6,SLC9A3	
Sensory perception of taste	6.6E-01		2.13E-02	SCNN1B	
Germ Cell-Sertoli Cell Junction Signaling	6.62E-01		1.20E-02	MAP2K6,TUBB4B	
Arachidonate metabolism	6.68E-01		2.17E-02	GGT5	
DNA damage-induced 14-3-3σ Signaling	6.68E-01		2.17E-02	WEE1	
M-decay: degradation of maternal mRNAs by maternally stored factors	6.68E-01		2.17E-02	TUBB4B	
Carboxyterminal post-translational modifications of tubulin	6.77E-01		2.22E-02	TUBB4B	
Dermatan Sulfate Biosynthesis (Late Stages)	6.77E-01		2.22E-02	HS3ST3A1	
Aggrephagy	6.85E-01		2.27E-02	TUBB4B	
Assembly and cell surface presentation of NMDA receptors	6.85E-01		2.27E-02	TUBB4B	
BER (Base Excision Repair) Pathway	6.85E-01		2.27E-02	MAP2K6	
Bile acid and bile salt metabolism	6.85E-01		2.27E-02	FABP6	
Collagen chain trimerization	6.85E-01		2.27E-02	COL28A1	
HOTAIR Regulatory Pathway	6.89E-01		1.25E-02	CD44,MMP12	
B Cell Activating Factor Signaling	6.94E-01		2.33E-02	TRAF5	
Senescence Pathway	6.99E-01		1.02E-02	MAP2K6,MAPKAPK3,PDK4	
April Mediated Signaling	7.03E-01		2.38E-02	TRAF5	
Pyrimidine Ribonucleotides De Novo Biosynthesis	7.13E-01		2.44E-02	ENTPD4	
RET signaling	7.13E-01		2.44E-02	DOK2	
Signaling by Retinoic Acid	7.13E-01		2.44E-02	PDK4	
Neurotransmitter release cycle	7.22E-01		2.50E-02	SLC1A7	
Estrogen Biosynthesis	7.32E-01		2.56E-02	CYP51A1	
Interleukin-7 signaling	7.32E-01		2.56E-02	CISH	
WNT/SHH Axonal Guidance Signaling Pathway	7.36E-01		1.34E-02	SFRP1,SHISA2	
Inhibition of Matrix Metalloproteases	7.42E-01		2.63E-02	MMP12	
Pyrimidine Ribonucleotides Interconversion	7.42E-01		2.63E-02	ENTPD4	
Triglyceride metabolism	7.42E-01		2.63E-02	FABP6	
Semaphorin Neuronal Repulsive Signaling Pathway	7.45E-01		1.36E-02	CD44,MAP2K6	
Endocannabinoid Cancer Inhibition Pathway	7.5E-01		1.37E-02	CNR2,MAP2K6	
Detoxification of Reactive Oxygen Species	7.53E-01		2.70E-02	PRDX5	
Fatty acyl-CoA biosynthesis	7.53E-01		2.70E-02	SLC27A3	
Metabolism of steroid hormones	7.64E-01		2.78E-02	HSD11B2	
Striated Muscle Contraction	7.64E-01		2.78E-02	TNNC2	
IL-9 Signaling	7.75E-01		2.86E-02	CISH	
Nucleotide catabolism	7.75E-01		2.86E-02	ENTPD4	
Signaling by NOTCH2	7.75E-01		2.86E-02	GZMB	
Role of Chondrocytes in Rheumatoid Arthritis Signaling Pathway	7.78E-01		1.43E-02	CEBPE,MMP12	
RAC Signaling	7.92E-01		1.46E-02	CD44,PIP4K2A	
Fatty Acid β-oxidation I	8.1E-01		3.12E-02	SLC27A3	
RHO GTPases activate IQGAPs	8.1E-01		3.12E-02	TUBB4B	
Th2 Pathway	8.13E-01		1.50E-02	CCR3,PTGDR2	
Co-inhibition by PD-1	8.36E-01		3.33E-02	PDCD1LG2	
Regulation of CDH11 Expression and Function	8.36E-01		3.33E-02	ADAM19	
Neutrophil Extracellular Trap Signaling Pathway	8.36E-01		1.03E-02	COL28A1,CTSG,MAP2K6,VSTM1	
Atherosclerosis Signaling	8.39E-01		1.56E-02	CCR3,TPSAB1	
Warburg Effect Signaling Pathway	8.39E-01		1.56E-02	PHGDH,PRDX5	
Endocannabinoid Developing Neuron Pathway	8.44E-01		1.57E-02	CNR2,MAP2K6	
Glycosaminoglycan metabolism	8.44E-01		1.57E-02	CD44,HS3ST3A1	
EGR2 and SOX10-mediated initiation of Schwann cell myelination	8.5E-01		3.45E-02	CYP51A1	
Energy dependent regulation of mTOR by LKB1-AMPK	8.5E-01		3.45E-02	RRAGB	
Myogenesis	8.5E-01		3.45E-02	MAP2K6	
Nicotinate metabolism	8.5E-01		3.45E-02	NMNAT2	
Paracetamol ADME	8.5E-01		3.45E-02	GGT5	
Oxidative Stress Induced Senescence	8.61E-01		1.61E-02	MAP2K6,MAPKAPK3	
MTOR signalling	8.64E-01		3.57E-02	RRAGB	
LXR/RXR Activation	8.67E-01		1.63E-02	CYP51A1,FDFT1	
Sertoli Cell-Sertoli Cell Junction Signaling	8.76E-01		1.24E-02	CDH26,CLDN3,TUBB4B	
p38 MAPK Signaling	8.78E-01		1.65E-02	MAP2K6,MAPKAPK3	
Pyroptosis	8.79E-01		3.70E-02	GZMB	
D-myo-inositol (1,4,5)-Trisphosphate Biosynthesis	8.94E-01		3.85E-02	PIP4K2A	
Interleukin-20 family signaling	8.94E-01		3.85E-02	IL22RA2	
Bupropion Degradation	9.27E-01		4.17E-02	CYP51A1	
Growth hormone receptor signaling	9.27E-01		4.17E-02	CISH	
IL-22 Signaling	9.27E-01		4.17E-02	IL22RA2	
Interleukin-6 family signaling	9.27E-01		4.17E-02	IL31RA	
Tumoricidal Function of Hepatic Natural Killer Cells	9.27E-01		4.17E-02	GZMB	
Role of Osteoblasts in Rheumatoid Arthritis Signaling Pathway	9.29E-01		1.32E-02	CTSG,MMP12,SFRP1	
Airway Pathology in Chronic Obstructive Pulmonary Disease	9.33E-01		1.79E-02	CTSG,GZMB	
LPS/IL-1 Mediated Inhibition of RXR Function	9.41E-01		1.33E-02	FABP6,HS3ST3A1,SLC27A3	
Apelin Cardiac Fibroblast Signaling Pathway	9.44E-01		4.35E-02	CCN2	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	9.45E-01		1.34E-02	MAP2K6,SFRP1,TRAF5	
Insertion of tail-anchored proteins into the endoplasmic reticulum membrane	9.62E-01		4.55E-02	OTOF	
NAD Salvage Pathway II	9.62E-01		4.55E-02	NMNAT2	
Phosphorylated BMAL1:CLOCK (ARNTL:CLOCK) activates expression of core clock genes	9.62E-01		4.55E-02	PER1	
RHOGDI Signaling	9.67E-01		1.37E-02	CD44,CDH26,PIP4K2A	
Pathogen Induced Cytokine Storm Signaling Pathway	9.84E-01		1.18E-02	CCL18,CCR3,COL28A1,GZMB	
WNK Renal Signaling Pathway	9.93E-01		1.94E-02	CLCNKB,SCNN1B	
ISGylation Signaling Pathway	1E00		1.96E-02	IRF4,ISG15	
Methylglyoxal Degradation III	1E00		5.00E-02	HSD11B2	
Role of Lipids/Lipid Rafts in the Pathogenesis of Influenza	1E00		5.00E-02	RSAD2	
Mitochondrial L-carnitine Shuttle Pathway	1.02E00		5.26E-02	SLC27A3	
